Student ID,Age,Sex,Height,GE Major,Other_Major,City,State_Country,Time_From_Home,Distance_From_Home,
1,21,F,68,Enironmental Analysis and Policy,,Bonita Springs,FL,28.00,1960.0,
2,19,M,71,Enironmental Analysis and Policy,,Budd Lake,NJ,4.75,300.0,
3,20,F,62,Environmental Science,,Sudbury,MA,0.67,19.6,
4,20,F,68,Enironmental Analysis and Policy,,Roslindale,MA,20.00,3.0,
5,20,M,76,Enironmental Analysis and Policy,,Somerset,MA,50.00,50.0,
6,21,F,67,Enironmental Analysis and Policy,,Buffalo Grove,IL,19.00,1000.0,
7,21,F,64,Enironmental Analysis and Policy,,Burlington,VT,3.50,210.0,
8,21,M,72,Enironmental Analysis and Policy,,Newton,MA,0.33,5.0,
9,20,F,67,Enironmental Analysis and Policy,Economics,Winthrop,MA,0.33,9.0,
10,21,F,61,,Economics,New Delhi,India,14.00,7800.0,
11,21,F,65,Enironmental Analysis and Policy,Economics,Chicago,IL,16.00,800.0,
12,20,F,68,Enironmental Analysis and Policy,Economics,Hampton,NH,1.00,45.0,
13,20,F,72,Enironmental Analysis and Policy,,Haddon Township,NJ,5.50,330.0,
14,21,F,66,Enironmental Analysis and Policy,Economics,Winchester,MA,0.50,9.0,
15,21,M,73,Environmental Science,Biology,Charleston,WV,14.00,840.0,
16,21,F,69,Enironmental Analysis and Policy,,Kawaihae,HI,30000.00,5000.0,
17,21,F,70,Enironmental Analysis and Policy,,Union,NJ,15.00,250.0,
18,20,F,63,Enironmental Analysis and Policy,,Raleigh,NC,13.00,800.0,
19,21,F,67,,Biology,Shrewsbury,MA,0.92,55.0,
20,21,M,69,Environmental Science,,Newtown,CT,3.00,175.0,
21,21,F,68,,Italian Studies,Chelmsford,MA,0.67,22.0,
22,21,M,67,Enironmental Analysis and Policy,,Dublin,NH,1.75,100.0,
23,20,M,69,Enironmental Analysis and Policy,,Rochester,NY,6.00,360.0,
24,21,F,64,Enironmental Analysis and Policy,Physics,Austin,TX,300.00,1500.0,
25,21,M,72,Enironmental Analysis and Policy,,Douglas,MA,0.92,59.6,
26,21,F,68,Enironmental Analysis and Policy,,Morganville,NJ,5.00,250.0,